epoch:0 train_loss:0.08544184267520905 test_acc:0.0068 test_loss:0.17398066818714142
epoch:1 train_loss:0.06991086900234222 test_acc:0.0202 test_loss:0.12025246769189835
epoch:2 train_loss:0.05976610630750656 test_acc:0.0388 test_loss:0.10925509035587311
epoch:3 train_loss:0.05734984576702118 test_acc:0.0854 test_loss:0.1196133941411972
epoch:4 train_loss:0.04836879298090935 test_acc:0.1482 test_loss:0.09078637510538101
epoch:5 train_loss:0.04576931148767471 test_acc:0.1724 test_loss:0.09064976125955582
epoch:6 train_loss:0.04721764102578163 test_acc:0.194 test_loss:0.07332779467105865
epoch:7 train_loss:0.04062772914767265 test_acc:0.2444 test_loss:0.07779601216316223
epoch:8 train_loss:0.03643547743558884 test_acc:0.2278 test_loss:0.09695259481668472
epoch:9 train_loss:0.034710317850112915 test_acc:0.2928 test_loss:0.08142230659723282
epoch:10 train_loss:0.03348686546087265 test_acc:0.3476 test_loss:0.056023623794317245
epoch:11 train_loss:0.032302431762218475 test_acc:0.4176 test_loss:0.08544271439313889
epoch:12 train_loss:0.03563619405031204 test_acc:0.4346 test_loss:0.07272711396217346
epoch:13 train_loss:0.03357306122779846 test_acc:0.471 test_loss:0.08129435032606125
epoch:14 train_loss:0.034684471786022186 test_acc:0.4746 test_loss:0.07994923740625381
epoch:15 train_loss:0.033334556967020035 test_acc:0.4888 test_loss:0.08445250988006592
epoch:16 train_loss:0.03006121888756752 test_acc:0.4444 test_loss:0.06602851301431656
epoch:17 train_loss:0.027129128575325012 test_acc:0.498 test_loss:0.04540371149778366
epoch:18 train_loss:0.0262951347976923 test_acc:0.5742 test_loss:0.024505198001861572
epoch:19 train_loss:0.01607809215784073 test_acc:0.57 test_loss:0.03264211490750313
epoch:20 train_loss:0.024912625551223755 test_acc:0.5926 test_loss:0.0498703271150589
epoch:21 train_loss:0.027609774842858315 test_acc:0.556 test_loss:0.02767607942223549
epoch:22 train_loss:0.021518733352422714 test_acc:0.6028 test_loss:0.03115641511976719
epoch:23 train_loss:0.02033020369708538 test_acc:0.6722 test_loss:0.05270998552441597
epoch:24 train_loss:0.026221267879009247 test_acc:0.7002 test_loss:0.056280892342329025
epoch:25 train_loss:0.018759911879897118 test_acc:0.6852 test_loss:0.03133648633956909
epoch:26 train_loss:0.019277021288871765 test_acc:0.7162 test_loss:0.038065750151872635
epoch:27 train_loss:0.025815770030021667 test_acc:0.6856 test_loss:0.05770297721028328
epoch:28 train_loss:0.01753062754869461 test_acc:0.7212 test_loss:0.02625771425664425
epoch:29 train_loss:0.022863898426294327 test_acc:0.732 test_loss:0.01851790025830269
epoch:30 train_loss:0.014181891456246376 test_acc:0.756 test_loss:0.019283477216959
epoch:31 train_loss:0.012534178793430328 test_acc:0.7504 test_loss:0.014188436791300774
epoch:32 train_loss:0.014434728771448135 test_acc:0.7396 test_loss:0.042055483907461166
epoch:33 train_loss:0.01928718201816082 test_acc:0.7606 test_loss:0.018669139593839645
epoch:34 train_loss:0.017929118126630783 test_acc:0.7542 test_loss:0.05693691968917847
epoch:35 train_loss:0.018473807722330093 test_acc:0.764 test_loss:0.01441471092402935
epoch:36 train_loss:0.015085240826010704 test_acc:0.7864 test_loss:0.03166050463914871
epoch:37 train_loss:0.01170858833938837 test_acc:0.77 test_loss:0.030110439285635948
epoch:38 train_loss:0.01569092832505703 test_acc:0.7736 test_loss:0.03607286885380745
epoch:39 train_loss:0.012306677177548409 test_acc:0.7824 test_loss:0.00811755657196045
epoch:40 train_loss:0.014666999690234661 test_acc:0.7822 test_loss:0.0030770967714488506
epoch:41 train_loss:0.014775226823985577 test_acc:0.7944 test_loss:0.01860400103032589
epoch:42 train_loss:0.01648910902440548 test_acc:0.8068 test_loss:0.012254203669726849
epoch:43 train_loss:0.019508998841047287 test_acc:0.7842 test_loss:0.03989976644515991
epoch:44 train_loss:0.01205797865986824 test_acc:0.7938 test_loss:0.015562557615339756
epoch:45 train_loss:0.012358561158180237 test_acc:0.8164 test_loss:0.023270409554243088
epoch:46 train_loss:0.01291635911911726 test_acc:0.827 test_loss:0.0160988662391901
epoch:47 train_loss:0.013662808574736118 test_acc:0.8184 test_loss:0.011098786257207394
epoch:48 train_loss:0.011659061536192894 test_acc:0.8118 test_loss:0.014106771908700466
epoch:49 train_loss:0.016962431371212006 test_acc:0.8316 test_loss:0.008845103904604912
epoch:50 train_loss:0.013475700281560421 test_acc:0.8084 test_loss:0.026580244302749634
epoch:51 train_loss:0.011785072274506092 test_acc:0.8172 test_loss:0.005296022165566683
epoch:52 train_loss:0.011040741577744484 test_acc:0.8082 test_loss:0.011316416785120964
epoch:53 train_loss:0.01629645749926567 test_acc:0.8362 test_loss:0.051210954785346985
epoch:54 train_loss:0.011418851092457771 test_acc:0.831 test_loss:0.019345300272107124
epoch:55 train_loss:0.0167019572108984 test_acc:0.8462 test_loss:0.016280904412269592
epoch:56 train_loss:0.011172628030180931 test_acc:0.831 test_loss:0.01816135086119175
epoch:57 train_loss:0.010227516293525696 test_acc:0.808 test_loss:0.02844623103737831
epoch:58 train_loss:0.00654183654114604 test_acc:0.8374 test_loss:0.016233325004577637
epoch:59 train_loss:0.015200907364487648 test_acc:0.822 test_loss:0.01606682315468788
epoch:60 train_loss:0.013856589794158936 test_acc:0.8408 test_loss:0.006792101543396711
epoch:61 train_loss:0.00969134084880352 test_acc:0.8454 test_loss:0.003598777810111642
epoch:62 train_loss:0.014104330912232399 test_acc:0.839 test_loss:0.0038603816647082567
epoch:63 train_loss:0.008109994232654572 test_acc:0.8258 test_loss:0.010678835213184357
epoch:64 train_loss:0.008409198373556137 test_acc:0.8432 test_loss:0.0046232095919549465
epoch:65 train_loss:0.008177297189831734 test_acc:0.8458 test_loss:0.005341975949704647
epoch:66 train_loss:0.010017572902143002 test_acc:0.8404 test_loss:0.007897143252193928
epoch:67 train_loss:0.004420256707817316 test_acc:0.842 test_loss:0.012221152894198895
epoch:68 train_loss:0.005716513842344284 test_acc:0.8436 test_loss:0.060014594346284866
epoch:69 train_loss:0.010204535908997059 test_acc:0.8292 test_loss:0.03273968771100044
epoch:70 train_loss:0.010499893687665462 test_acc:0.8432 test_loss:0.021078061312437057
epoch:71 train_loss:0.00988470483571291 test_acc:0.8572 test_loss:0.008085903711616993
epoch:72 train_loss:0.010171179659664631 test_acc:0.8618 test_loss:0.002553197555243969
epoch:73 train_loss:0.013305064290761948 test_acc:0.8254 test_loss:0.004461458418518305
epoch:74 train_loss:0.008285637013614178 test_acc:0.847 test_loss:0.005199170205742121
epoch:75 train_loss:0.011190335266292095 test_acc:0.8512 test_loss:0.006528486032038927
epoch:76 train_loss:0.005663667339831591 test_acc:0.847 test_loss:0.002754167653620243
epoch:77 train_loss:0.013463320210576057 test_acc:0.8424 test_loss:0.05399205908179283
epoch:78 train_loss:0.010211136192083359 test_acc:0.8446 test_loss:0.003708471776917577
epoch:79 train_loss:0.010464005172252655 test_acc:0.848 test_loss:0.02512691169977188
epoch:80 train_loss:0.01216534711420536 test_acc:0.8498 test_loss:0.010012555867433548
epoch:81 train_loss:0.010593246668577194 test_acc:0.8396 test_loss:0.007463930640369654
epoch:82 train_loss:0.00632100086659193 test_acc:0.8444 test_loss:0.012239254079759121
epoch:83 train_loss:0.007359419018030167 test_acc:0.855 test_loss:0.013915370218455791
epoch:84 train_loss:0.008245173841714859 test_acc:0.8462 test_loss:0.02284669317305088
epoch:85 train_loss:0.009534664452075958 test_acc:0.8378 test_loss:0.01148312259465456
epoch:86 train_loss:0.00865885615348816 test_acc:0.8492 test_loss:0.01258057076483965
epoch:87 train_loss:0.008633510209619999 test_acc:0.8584 test_loss:0.002037207828834653
epoch:88 train_loss:0.006337728817015886 test_acc:0.8534 test_loss:0.0029519295785576105
epoch:89 train_loss:0.011952957138419151 test_acc:0.8282 test_loss:0.015436572954058647
epoch:90 train_loss:0.0056289490312337875 test_acc:0.8616 test_loss:0.0034144031815230846
epoch:91 train_loss:0.009011340327560902 test_acc:0.8568 test_loss:0.009579737670719624
epoch:92 train_loss:0.007717195898294449 test_acc:0.8358 test_loss:0.009740174748003483
epoch:93 train_loss:0.007747134193778038 test_acc:0.8594 test_loss:0.014766690321266651
epoch:94 train_loss:0.0071943579241633415 test_acc:0.8518 test_loss:0.03616633266210556
epoch:95 train_loss:0.011886204592883587 test_acc:0.8548 test_loss:0.007103103678673506
epoch:96 train_loss:0.008487056940793991 test_acc:0.8638 test_loss:0.0020277046132832766
epoch:97 train_loss:0.007138750981539488 test_acc:0.8608 test_loss:0.008456692099571228
epoch:98 train_loss:0.006652397103607655 test_acc:0.85 test_loss:0.0021343454718589783
epoch:99 train_loss:0.008526288904249668 test_acc:0.8526 test_loss:0.03143252432346344
epoch:100 train_loss:0.004523635841906071 test_acc:0.8606 test_loss:0.007506414316594601
epoch:101 train_loss:0.008717065677046776 test_acc:0.8488 test_loss:0.0025991934817284346
epoch:102 train_loss:0.005573151633143425 test_acc:0.8532 test_loss:0.08026139438152313
epoch:103 train_loss:0.008264259435236454 test_acc:0.8386 test_loss:0.01688320003449917
epoch:104 train_loss:0.005161777138710022 test_acc:0.8646 test_loss:0.007168327923864126
epoch:105 train_loss:0.006375996395945549 test_acc:0.851 test_loss:0.008348246105015278
epoch:106 train_loss:0.007852989248931408 test_acc:0.837 test_loss:0.011860568076372147
epoch:107 train_loss:0.005394299514591694 test_acc:0.858 test_loss:0.009208421222865582
epoch:108 train_loss:0.0035570450127124786 test_acc:0.8524 test_loss:0.004886620212346315
epoch:109 train_loss:0.006405587773770094 test_acc:0.8426 test_loss:0.0038362012710422277
epoch:110 train_loss:0.0028945603407919407 test_acc:0.8542 test_loss:0.025958234444260597
epoch:111 train_loss:0.005273871123790741 test_acc:0.8404 test_loss:0.0015621872153133154
